ID	Field =001	Aleph System ID (HRID)	Field =035 / OCLC	Title	Notes																																										
142	ocn220981980 	112600	220981980 	Mike Kelley : 1975-1994 works / [text: Justin Lieberman ; editor: Richard Slovak].																																											
143	ocm84664916 	112786	84664916 	Masterpieces of European painting from the Cleveland Museum of Art / edited by Margaret Iacono.																																											
144	ocm50662867 	112824	50662867 	Cistercian Abbeys : history and architecture / photography by Henri Gaud ; text by Jean-Francois Leroux-Dhuys.																																											
145	ocm74215324 	112856	74215324 	El retrato espanol en el Prado : del Greco a Goya / edicion de Leticia Ruiz Gomez.																																											
146	ocm71642860 	112858	71642860 	Ellsworth Kelly / essays by Sarah Whitfield and Rochelle Steiner.																																											
147	ocm77742639 	112959	77742639 	Gordon Onslow Ford : the formative years : paintings from the 1930's and 1940's.																																											
148	14026781 	111323		At the edge of the sky : Asian art in the collection of the San Antonio Museum of Art / Martha Blackwelder, John E. Vollmer ; edited by Retha J. Oliver.	May need to overlay OCLC record: OCLC: 122306752																																										
149	96-bocm00004136 	113234		Ornament : a social history since 1450 / [Michael Snodin & Maurice Howard]	May need to overlay OCLC record. OCLC: 33078885																																										
150	14414692 	113237		Alpine views : Alexandre Calame and the Swiss landscape / Alberto de Andres.	May need to overlay OCLC record. OCLC: 70158531																																										
151	ocm76961346 	113242	76961346 	Fired with passion : contemporary Japanese ceramics / Samuel J. Lurie and Beatrice L. Chang ; principal photography by Geoff Spear ; design by Lurie, Chang, and Spear.																																											
152	ocm76831041 	199694	76831041 	Alvin Lustig : an exhibition of his work, A-D Gallery, New York.																																											
153	ocm80166274 	199695	80166274 	Colour prints of the 19th and 20th centuries : 5-29 November 1974.																																											
154	ocn863625225 	199696	863625225 	Les ateliers et la céramique de Paterna : (XIIIe-XVe siècles) / [exposition], Musée Saint-Jacques, Béziers, du 22 juil. au 30 oct. 1993 ; François Amigues, Mercedes Mesquida García.																																											
155	ocm34560896 	199697	34560896 	Explorations in the city of light : African-American artists in Paris, 1945-1965 / [edited by Audreen Buffalo].																																											
156	ocm77931609 	199700	77931609 	Mark Cohen : urban echoes : August 24 through September 28, 1993.																																											
157	ocm00000NEW 	199701		Fuxnama :recent works by Sumitro Basak : 15 March - 20 April, 2013.	May need to overlay OCLC record. OCLC: 1319482922																																										
158	ocm00000NEW 	199702		Designing tomorrow :Friedrich Kieslers Mergentime apartment.	May need to overlay OCLC record. OCLC: 1019909361																																										
159	ocm00000NEW 	199703		The hand loom linen weavers of Ireland and their work	May need to overlay OCLC record. OCLC: 1319482116 (DLC: 33129416)																																										
160	ocm00000NEW 	199704		Vente publique 122 : 13 septembre 2014.	May need to overlay OCLC record. OCLC: 1319478976																																										
161	ocn990346736 	199705	990346736 	Ruth Baumgarte 1923-2013 : Hommage zum 90. Geburtstag : wichtige Werke aus sieben Jahrzehnten : 6. Juli - 11. Oktober 2013 / Text Marina Pizziolo, Mailand ; Dr. Gerhard Charles Rump, Berlin.																																											
162	ocm00000NEW 	199706		Kōshitsu to bonboniēru : sono rekishi o tadoru = The Imperial Family and bonbonnières : tracing their history	May need to overlay OCLC record. OCLC: 1005666336																																										
